,,,Gemeindesteuerfüsse 2010 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
12 ,171 ,128,Bauma,122,0,0,0,14,14,14,122,136,136,136,,,,,,132.5,136.00,,,,,
44 ,172 ,129,Fehraltorf,109,0,0,0,14,14,14,109,123,123,123,,,,,,119.6,123.00,,,,,
63 ,173 ,130,Hittnau,46,0,76,0,14,14,14,122,136,136,136,,,,,,132.5,136.00,,,,,
73 ,174 ,131,Illnau-Effretikon,115,0,0,0,13,13,14,115,128,128,129,,,,,,124.2,128.00,,,,,
80 ,175 ,132,Kyburg,122,0,0,0,14,12,14,122,136,134,136,,,,,,131.8,135.52,,,,,
83 ,176 ,133,Lindau,115,0,0,0,10,13,14,115,125,128,129,,,,,,123.3,126.11,,,,,
111 ,177 ,134,Pfäffikon,114,0,0,0,13,14,14,114,127,128,128,,,,,,123.7,127.35,,,,,
123 ,178 ,135,Russikon,116,0,0,0,12,14,14,116,128,130,130,,,,,,125.1,128.58,,,,,
137 ,179 ,136,Sternenberg,61,0,61,0,14,14,14,122,136,136,136,,,,,,132.4,136.00,,,,,
159 ,180 ,137,Weisslingen,111,0,0,0,13,12,14,111,124,123,125,,,,,,120.9,123.72,,,,,
164 ,181 ,138,Wila,65,35,0,22,14,16,14,122,136,138,136,,,,,,132.7,136.46,,,,,
165 ,182 ,139,Wildberg,49,51,0,22,14,16,14,122,136,138,136,,,,,,133.8,136.36,,,,,
34 ,191 ,140,Dübendorf,90,0,0,21,12,12,14,111,123,123,125,,,,,,119.4,123.00,,,,,
36 ,192 ,141,Egg,40,0,57,0,11,12,14,97,108,109,111,,,,,,105.0,108.41,,,,,
43 ,193 ,142,Fällanden,40,0,53,0,10,12,14,93,103,105,107,,,,,,100.4,103.84,,,,,
53 ,194 ,143,Greifensee,35,47,0,21,11,12,14,103,114,115,117,,,,,,111.8,114.42,,,,,
88 ,195 ,144,Maur,82,0,0,0,9,12,14,82,91,94,96,,,,,,88.1,92.05,,,,,
91 ,196 ,145,Mönchaltorf,116,0,0,0,13,12,14,116,129,128,130,,,,,,125.3,128.67,,,,,
130 ,197 ,146,Schwerzenbach,32,39,0,21,8,12,14,92,100,104,106,,,,,,99.2,101.80,,,,,
148 ,198 ,147,Uster,93,0,0,19,10,12,14,112,122,124,126,,,,,,119.8,122.88,,,,,
150 ,199 ,148,Volketswil,30,0,65,0,8,12,14,95,103,107,109,,,,,,102.4,104.80,,,,,
155 ,200 ,149,Wangen-Brüttisellen,105,0,0,0,11,12,14,105,116,117,119,,,,,,113.0,116.49,,,,,
6 ,211 ,150,Altikon,90,0,0,22,14,13,14,112,126,125,126,,,,,,123.0,125.84,,,,,
15 ,212 ,151,Bertschikon,91,0,0,22,14,13,14,113,127,126,127,,,,,,123.9,126.77,,,,,
19 ,213 ,152,Brütten,89,0,0,0,13,13,14,89,102,102,103,,,,,,98.2,102.00,,,,,
25 ,214 ,153,Dägerlen,55,41,0,22,14,13,14,118,132,131,132,,,,,,128.2,131.82,,,,,
28 ,215 ,154,Dättlikon,114,0,0,0,14,13,14,114,128,127,128,,,,,,125.0,127.75,,,,,
32 ,216 ,155,Dinhard,81,0,0,22,14,13,14,103,117,116,117,,,,,,114.1,116.80,,,,,
38 ,217 ,156,Elgg,58,40,0,21,14,16,14,119,133,135,133,,,,,,130.0,133.60,,,,,
39 ,218 ,157,Ellikon a.d.Th.,41,50,0,22,14,13,14,113,127,126,127,,,,,,123.3,126.77,,,,,
40 ,219 ,158,Elsau,50,41,0,25,14,13,14,116,130,129,130,,,,,,126.9,129.67,,,,,
55 ,220 ,159,Hagenbuch,91,0,0,21,14,16,14,112,126,128,126,,,,,,122.6,126.62,,,,,
60 ,221 ,160,Hettlingen,26,56,0,21,13,13,14,103,116,116,117,,,,,,112.3,116.00,,,,,
65 ,222 ,161,Hofstetten,53,48,0,21,14,16,14,122,136,138,136,,,,,,133.4,136.30,,,,,
