INDIKATOR_ID,INDIKATOR_NAME,EINHEIT_LANG,QUELLE,BESCHREIBUNG
1261,5 Nettoinvestitionen Soziale Wohlfahrt [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Soziale Wohlfahrt
1262,6 Nettoinvestitionen Verkehr [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Verkehr
1263,7 Nettoinvestitionen Umwelt und Raumordnung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Umwelt und Raumordnung
1264,8 Nettoinvestitionen Volkswirtschaft [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen in Volkswirtschaft
1396,9 Nettoinvestitionen Finanzen und Steuern [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen Finanzen und Steuern
1265,011 Legislative [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Legislative
1266,012 Exekutive [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Exekutive
1267,02x Gemeindeverwaltung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Gemeindeverwaltung
1268,03x Leistungen für Pensionierte [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Leistungen für Pensionierte
1269,09x Verwaltungsliegenschaften [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Verwaltungsliegenschaften
1270,10x Rechtspflege [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Rechtspflege
1271,11x Polizei [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Polizei
1272,12x Rechtssprechung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Rechtssprechung
1273,13x [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1274,14x Feuerwehr und Feuerpolizei [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Feuerwehr und Feuerpolizei
1275,15x Militär [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Militär
1276,16x Zivilschutz [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Zivilschutz
